##4113706,...2,...3
when	when	rrq_cs
he	he	pphs1
announced	announce	vvd
his	his	appge
candidacy	candidacy	nn1
last	last	md
summer	summer	nnt1
,	,	y
but	but	ccb
a	a	at1
string	string	nn1
of	of	io
poor	poor	jj
debate	debate	nn1
performances	performance	nn2
soon	soon	rr
led	lead	vvn_vvd
to	to	ii
a	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
one	one	mc1
debate	debate	nn1
when	when	cs_rrq
he	he	pphs1
unaccountably	unaccountably	rr
could	could	vm
not	not	xx
recall	recall	vvi
the	the	at
third	third	md
of	of	io
three	three	mc
federal	federal	jj
agencies	agency	nn2
he	he	pphs1
has	have	vhz
promised	promise	vvn
to	to	to
abolish	abolish	vvi
.	.	y
He	he	pphs1
joked	joke	vvd
about	about	ii
it	it	pph1
afterward	afterward	rl_jj
but	but	ccb
never	never	rr
recovered	recover	vvn_vvd
from	from	ii
the	the	at
fumble.	fumble	nnu
#	#	fo
In	in	ii
his	his	appge
farewell	farewell	nn1
appearance	appearance	nn1
as	as	ii_csa
a	a	at1
candidate	candidate	nn1
,	,	y
he	he	pphs1
said	say	vvd
he	he	pphs1
was	be	vbdz
bowing	bow	vvg
out	out	ii21
of	of	ii22
the	the	at
2012	2012	mc
campaign	campaign	nn1
,	,	y
seemingly	seemingly	rr
a	a	at1
hint	hint	nn1
he	he	pphs1
would	would	vm
run	run	vvi
again	again	rt
in	in	ii
four	four	mc
years	year	nnt2
if	if	cs
Republicans	republican	nn2
fail	fail	vv0
to	to	to
win	win	vvi
the	the	at
White	white	np1
House	house	nn1
this	this	dd1
time	time	nnt1
.	.	y
#	#	fo
An	a	at1
aide	aide	nn1
,	,	y
Ray	ray	np1
Sullivan	sullivan	np1
was	be	vbdz
more	more	rgr
explicit	explicit	jj
,	,	y
telling	tell	vvg
reporters	reporter	nn2
Perry	perry	np1_nn1@
has	have	vhz
n't	n't	xx
ruled	rule	vvn
out	out	rp
running	run	vvg
for	for	if
governor	governor	nn1
again	again	rt
or	or	cc
for	for	if
the	the	at
White	white	np1
House	house	nn1
in	in	ii
2016	2016	mc
if	if	cs
Obama	obama	np1
is	be	vbz
re-elected	re-elect	vvn_jj
.	.	y
#	#	fo
Associated	associated	jj
Press	press	nn1
writers	writer	nn2
Thomas	thomas	np1
Beaumont	beaumont	np1
,	,	y
Beth	beth	np1
Fouhy	fouhy	np1
,	,	y
Philip	philip	np1
Elliott	elliott	np1
,	,	y
Kasie	kasie	np1
Hunt	hunt	np1
and	and	cc
Shannon	shannon	np1
McCaffrey	mccaffrey	np1
in	in	ii
South	south	np1
Carolina	carolina	np1
contributed	contribute	vvd
to	to	ii
this	this	dd1
story.	story	nnu
#	#	fo
#	#	fo
##4113714		
From	from	ii
the	the	at
Magic	magic	jj
Kingdom	kingdom	nn1
to	to	ii
the	the	at
Apollo	apollo	np1
Theater	theater	np1
,	,	y
President	president	nnb
Barack	barack	np1
Obama	obama	np1
on	on	ii
Thursday	thursday	npd1
made	make	vvd
the	the	at
case	case	nn1
for	for	if
American	american	jj
tourism	tourism	nn1
and	and	cc
his	his	appge
own	own	da
re-election	re-election	nn1
bid	bid	nn1_vv0
,	,	y
mingling	mingle	vvg
his	his	appge
political	political	jj
and	and	cc
economic	economic	jj
agendas	agenda	nn2
as	as	csa
he	he	pphs1
tried	try	vvd
to	to	to
stay	stay	vvi
ahead	ahead	ii21
of	of	ii22
the	the	at
Republicans	republican	nn2
chasing	chase	vvg
after	after	ii
his	his	appge
job	job	nn1
.	.	y
#	#	fo
		y
I	i	zz1%_mc1%
hope	hope	vv0
you	you	ppy
know	know	vv0
that	that	cst
the	the	at
values	value	nn2
you	you	ppy
cherish	cherish	vv0
,	,	y
what	what	ddq
you	you	ppy
stand	stand	vv0
for	for	if
,	,	y
what	what	ddq
you	you	ppy
believe	believe	vv0
in	in	rp@
,	,	y
are	be	vbr
the	the	at
things	thing	nn2
I	i	ppis1
cherish	cherish	vv0
and	and	cc
I	i	ppis1
believe	believe	vv0
in	in	rp@
and	and	cc
I	i	ppis1
'm	be	vbm
willing	willing	jj
to	to	to
fight	fight	vvi
for	for	if
,	,	y
		y
Obama	obama	np1
said	say	vvd
at	at	ii
Daniel	daniel	np1
,	,	y
an	a	at1
exclusive	exclusive	jj
Manhattan	manhattan	np1
restaurant	restaurant	nn1
,	,	y
in	in	ii
the	the	at
first	first	md
of	of	io
four	four	mc
glitzy	glitzy	jj
fundraisers.	fund-raisers	nnu
#	#	fo
Presidential	presidential	jj
politics	politics	nn1
were	be	vbdr
not	not	xx
far	far	rr
from	from	ii
the	the	at
surface	surface	nn1
during	during	ii
events	event	nn2
on	on	ii
both	both	db2
ends	end	nn2
of	of	io
the	the	at
East	east	nd1
Coast	coast	nn1
,	,	y
as	as	csa
Obama	obama	np1
sought	seek	vvd
a	a	at1
piece	piece	nn1
of	of	io
Florida	florida	np1
's	's	ge
political	political	jj
spotlight	spotlight	nn1
ahead	ahead	ii21
of	of	ii22
a	a	at1
Jan.	jan	npm1
31	31	mc
Republican	republican	jj@_nn1
presidential	presidential	jj
primary	primary	nn1_jj
with	with	iw
a	a	at1
high-profile	high-profile	jj
appearance	appearance	nn1
at	at	ii
Walt	walt	np1
Disney	disney	np1
World	world	nn1
.	.	y
Against	against	ii
the	the	at
backdrop	backdrop	nn1
of	of	io
Disney	disney	np1
's	's	ge
Cinderella	cinderella	np1
castle	castle	nn1
,	,	y
Obama	obama	np1
announced	announce	vvd
initiatives	initiative	nn2
aimed	aim	vvn_vvd
at	at	ii
making	make	vvg
it	it	pph1
easier	easy	jjr_rrr
for	for	if
citizens	citizen	nn2
of	of	io
China	china	np1
and	and	cc
Brazil	brazil	np1
to	to	to
visit	visit	vvi
the	the	at
United	united	np1
States	state	np1
.	.	y
#	#	fo
		y
America	america	np1
is	be	vbz
open	open	jj
for	for	if
business	business	nn1
,	,	y
		y
Obama	obama	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
want	want	vv0
to	to	to
welcome	welcome	vvi
you	you	ppy
.	.	y
		y
#	#	fo
Later	later	rrr
,	,	y
the	the	at
president	president	nn1
told	tell	vvd_vvn
top	top	jj
donors	donor	nn2
in	in	ii
New	new	np1
York	york	np1
that	that	cst
he	he	pphs1
had	have	vhd
made	make	vvn
American	american	jj
foreign	foreign	jj
policy	policy	nn1
stronger	strong	jjr
during	during	ii
his	his	appge
first	first	md
term	term	nn1
,	,	y
vowing	vow	vvg
that	that	cst
U.S.	us	np1
support	support	nn1_vv0
for	for	if
Israel	israel	np1
's	's	ge
security	security	nn1
is	be	vbz
		y
nonnegotiable	non-negotiable	jj
.	.	y
		y
He	he	pphs1
also	also	rr
defended	defend	vvd
his	his	appge
administration	administration	nn1
's	's	ge
approach	approach	nn1
to	to	ii
Iran	iran	np1
,	,	y
saying	say	vvg
even	even	rr
Tehran	tehran	np1
has	have	vhz
acknowledged	acknowledge	vvn
that	that	cst
U.S.	us	np1
sanctions	sanction	nn2
are	be	vbr
having	have	vhg
an	a	at1
impact	impact	nn1
.	.	y
#	#	fo
The	the	at
New	new	np1
York	york	np1
itinerary	itinerary	nn1
included	include	vvd_vvn
a	a	at1
$35,800	$35,800	nnu
per	per	ii
ticket	ticket	nn1
fundraiser	fund-raiser	nn1
at	at	ii
the	the	at
home	home	nn1
of	of	io
film	film	nn1
director	director	nn1
Spike	spike	nn1_vv0
Lee	lee	np1
and	and	cc
an	a	at1
event	event	nn1
starting	start	vvg_nn1
at	at	ii
$100	$100	nnu
per	per	ii
ticket	ticket	nn1
at	at	ii
the	the	at
famed	famed	jj
Apollo	apollo	np1
Theater	theater	np1_nn1
featuring	feature	vvg
performances	performance	nn2
by	by	ii
singers	singer	nn2
Al	al	np1
Green	green	np1
and	and	cc
India.Arie.		np1
#	#	fo
Outside	outside	ii
the	the	at
theater	theater	nn1
,	,	y
more	more	dar
than	than	csn
100	100	mc
people	people	nn
demonstrated	demonstrate	vvn_vvd
on	on	ii31
behalf	behalf	ii32
of	of	ii33
several	several	da2
groups	group	nn2
,	,	y
including	include	vvg@_ii
Occupy	occupy	vv0
Wall	wall	np1
Street	street	nnl1
and	and	cc
MoveOn.org	moveon.org	np1
,	,	y
and	and	cc
some	some	dd
carried	carried	jj%_vvd
signs	sign	nn2
that	that	cst
read	read	vvd_vv0
		y
Obama	obama	np1
Wall	wall	np1
Street	street	nnl1
Stooge	stooge	np1
		y
and	and	cc
		y
Capitalism	capitalism	nn1
(	(	y
equals	equal	vvz_nn2
)	)	y
Democracy	democracy	nn1
for	for	if
Billionaires.	billionaires	np1
		y
#	#	fo
Inside	inside	rl
,	,	y
Obama	obama	np1
touted	tout	vvd
his	his	appge
administration	administration	nn1
's	's	ge
work	work	nn1
on	on	ii
everything	everything	pn1
from	from	ii
health	health	nn1
care	care	nn1_vv0
to	to	ii
ending	end	vvg
the	the	at
Iraq	iraq	np1
war	war	nn1
.	.	y
But	but	ccb
he	he	pphs1
warned	warn	vvd
an	a	at1
enthusiastic	enthusiastic	jj
crowd	crowd	nn1
of	of	io
about	about	rg
1,400	1,400	mc
supporters	supporter	nn2
that	that	cst_dd1
,	,	y
		y
everything	everything	pn1
we	we	ppis2
did	do	vdd
over	over	ii
the	the	at
last	last	md
three	three	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
#	#	fo
At	at	ii
a	a	at1
separate	separate	jj
fundraiser	fund-raiser	nn1
earlier	early	rrr
in	in	ii
the	the	at
night	night	nnt1
,	,	y
Obama	obama	np1
said	say	vvd
the	the	at
November	november	npm1
election	election	nn1
would	would	vm
be	be	vbi
		y
as	as	rg@
stark	stark	jj_rg@
a	a	at1
choice	choice	nn1
as	as	csa
we	we	ppis2
have	have	vh0
seen	see	vvn
		y
.	.	y
He	he	pphs1
drew	draw	vvd
a	a	at1
contrast	contrast	nn1
between	between	ii
the	the	at
current	current	jj
crop	crop	nn1
of	of	io
GOP	gop	np1_nn1
presidential	presidential	jj
hopefuls	hopeful	nn2
and	and	cc
2008	2008	mc
Republican	republican	jj@_nn1
nominee	nominee	nn1
John	john	np1
McCain	mccain	np1
,	,	y
who	who	pnqs
Obama	obama	np1
said	say	vvd
shared	share	vvn_vvd
some	some	dd
of	of	io
his	his	appge
views	view	nn2
on	on	ii
banning	ban	vvg
torture	torture	nn1
,	,	y
climate	climate	nn1
change	change	nn1
and	and	cc
closing	close	vvg
the	the	at
prison	prison	nn1
at	at	ii
Guantanamo	guantanamo	np1_nn1
Bay	bay	nn1
,	,	y
Cuba	cuba	np1
.	.	y
#	#	fo
		y
If	if	cs
you	you	ppy
've	have	vh0
been	be	vbn
listening	listen	vvg
to	to	ii
the	the	at
Republican	republican	nn1_jj@
debates	debate	nn2
,	,	y
they	they	pphs2
have	have	vh0
moved	move	vvn
,	,	y
		y
Obama	obama	np1
said	say	vvd
.	.	y
		y
I	i	ppis1
've	have	vh0
stayed	stay	vvn
here	here	rl
.	.	y
They	they	pphs2
've	have	vh0
gone	go	vvn
in	in	ii
a	a	at1
different	different	jj
direction	direction	nn1
.	.	y
		y
#	#	fo
Obama	obama	np1
's	's	ge
trip	trip	nn1
to	to	ii
Florida	florida	np1
marked	mark	vvd@
an	a	at1
attempt	attempt	nn1
by	by	ii
the	the	at
White	white	np1
House	house	nn1
and	and	cc
his	his	appge
campaign	campaign	nn1
to	to	to
steal	steal	vvi
attention	attention	nn1
from	from	ii
Republicans	republican	nn2
vying	vie	vvg
for	for	if
the	the	at
GOP	gop	nn1_np1
presidential	presidential	jj
nomination	nomination	nn1
.	.	y
In	in	ii
recent	recent	jj
weeks	week	nnt2
Obama	obama	np1
held	hold	vvd
a	a	at1
live	live	jj
video	video	nn1
conference	conference	nn1
with	with	iw
Iowa	iowa	np1
voters	voter	nn2
during	during	ii
the	the	at
Republican	republican	nn1_jj@
caucus	caucus	nn1
,	,	y
Vice	vice	nnb
President	president	nnb
Joe	joe	np1
Biden	biden	np1
held	hold	vvd
a	a	at1
similar	similar	jj
event	event	nn1
with	with	iw
voters	voter	nn2
in	in	ii
New	new	np1
Hampshire	hampshire	np1
on	on	ii
the	the	at
night	night	nnt1
of	of	io
the	the	at
state	state	nn1
's	's	ge
first-in-the-nation	first-in-the-nation	jj_nn1
primary	primary	nn1_jj
and	and	cc
next	next	md
week	week	nnt1
Obama	obama	np1_nn1@
will	will	vm
travel	travel	vvi
to	to	ii
Nevada	nevada	np1
,	,	y
which	which	ddq
follows	follow	vvz
Florida	florida	np1
on	on	ii
the	the	at
primary	primary	jj_nn1
calendar	calendar	nn1
.	.	y
#	#	fo
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
GOP	gop	np1_nn1
front-runner	front-runner	nn1
Mitt	mitt	np1
Romney	romney	np1
blaming	blame	vvg
the	the	at
president	president	nn1
for	for	if
the	the	at
state	state	nn1
's	's	ge
struggling	struggling	jj_vvg
economy	economy	nn1
.	.	y
Romney	romney	nn1_np1@
,	,	y
the	the	at
former	former	da
Massachusetts	massachusetts	np1
governor	governor	nn1
,	,	y
could	could	vm
take	take	vvi
a	a	at1
major	major	jj
step	step	nn1
toward	toward	ii
securing	secure	vvg
the	the	at
Republican	republican	nn1_jj@
nomination	nomination	nn1
with	with	iw
a	a	at1
win	win	nn1@
in	in	ii
Florida	florida	np1
's	's	ge_vbz
Jan.	jan	npm1
31	31	mc
primary	primary	jj
contest	contest	nn1
.	.	y
#	#	fo
		y
I	i	zz1%
have	have	vh0
a	a	at1
simple	simple	jj
question	question	nn1
for	for	if
you	you	ppy
:	:	y
Where	where	rrq
are	be	vbr
the	the	at
jobs	job	nn2
?	?	y
		y
Romney	romney	np1@_nn1
wrote	write	vvd
in	in	ii_rp@
an	a	at1
open	open	jj
letter	letter	nn1
to	to	ii
the	the	at
president	president	nn1
on	on	ii
Thursday	thursday	npd1
running	running	nn1_jj
as	as	ii_csa
an	a	at1
ad	ad	nn1
in	in	ii
the	the	at
Tampa	tampa	np1
Bay	bay	nn1_jj@
Times	time	nnt2
.	.	y
In	in	ii
a	a	at1
conference	conference	nn1
call	call	nn1_vv0
with	with	iw
reporters	reporter	nn2
,	,	y
Romney	romney	np1
said	say	vvd
Obama	obama	np1
was	be	vbdz
		y
speaking	speak	vvg
from	from	ii
Fantasyland.	fantasyland	np1
		y
#	#	fo
While	while	cs
Obama	obama	np1
carried	carry	vvd
Florida	florida	np1
in	in	ii
2008	2008	mc
,	,	y
the	the	at
state	state	nn1
is	be	vbz
a	a	at1
top	top	jj_nn1
target	target	nn1
for	for	if
Republicans	republican	nn2
in	in	ii
the	the	at
November	november	npm1
elections	election	nn2
.	.	y
Florida	florida	np1
twice	twice	rr
backed	back	vvn_vvd_jj@
Republican	republican	nn1_jj@
George	george	np1
W.	w	np1
Bush	bush	np1
,	,	y
providing	provide	vvg_cs@
the	the	at
decisive	decisive	jj
electoral	electoral	jj
votes	vote	nn2
in	in	ii
the	the	at
cliffhanger	cliffhanger	nn1
2000	2000	mc
election	election	nn1
that	that	cst_dd1
was	be	vbdz
decided	decide	vvn
after	after	ii
a	a	at1
36-day	36-day	jj_nnt1
recount.	recount	nnu
#	#	fo
Tourism	tourism	nn1
is	be	vbz
a	a	at1
key	key	jj
component	component	nn1
to	to	ii
the	the	at
economy	economy	nn1
in	in	ii
Florida	florida	np1
,	,	y
which	which	ddq
has	have	vhz
been	be	vbn
battered	batter	vvn
by	by	ii
10	10	mc
percent	percent	nnu
unemployment	unemployment	nn1
and	and	cc
rampant	rampant	jj
home	home	nn1_rl
foreclosures.	foreclosures	nnu
#	#	fo
The	the	at
White	white	np1
House	house	nn1
said	say	vvd
more	more	dar_rrr
than	than	csn
1	1	mc1
million	million	nno
U.S.	us	np1
jobs	job	nn2
could	could	vm
be	be	vbi
created	create	vvn
over	over	ii_rp
the	the	at
next	next	md
decade	decade	nnt1
,	,	y
according	according	ii21
to	to	ii22
industry	industry	nn1
projections	projection	nn2
,	,	y
if	if	cs
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
#	#	fo
The	the	at
tourism	tourism	nn1
initiative	initiative	nn1
is	be	vbz
part	part	nn1
of	of	io
an	a	at1
executive	executive	nn1_jj@
order	order	nn1
Obama	obama	np1_nn1@
signed	sign	vvd
.	.	y
Its		appge
goal	goal	nn1
is	be	vbz
to	to	to
boost	boost	vvi
nonimmigrant	non-immigrant	jj_nn1
visa	visa	nn1
processing	processing	nn1_vvg
capacity	capacity	nn1
in	in	ii
China	china	np1
and	and	cc
Brazil	brazil	np1
by	by	ii
40	40	mc
percent	percent	nnu
this	this	dd1
year	year	nnt1
;	;	y
expand	expand	vv0
a	a	at1
Visa	visa	nn1
Waiver	waiver	nn1
Program	program	nn1_vv0@
that	that	cst_dd1
allows	allow	vvz
participating	participating	jj_vvg
nationals	national	nn2
to	to	to
travel	travel	vvi
to	to	ii
the	the	at
U.S.	us	np1
for	for	if
stays	stay	nn2
of	of	io
90	90	mc
days	day	nnt2
or	or	cc
less	less	rrr_dar
without	without	iw
a	a	at1
visa	visa	nn1
;	;	y
appoint	appoint	vv0
a	a	at1
new	new	jj
group	group	nn1
of	of	io
chief	chief	jj_nn1
executives	executive	nn2
to	to	ii
the	the	at
U.S.	us	np1
Travel	travel	nn1_vv0
and	and	cc
Tourism	tourism	nn1
Advisory	advisory	jj
Board	board	nn1
;	;	y
and	and	cc
direct	direct	vv0@_rr@
an	a	at1
interagency	interagency	nn1
task	task	nn1
force	force	nn1
to	to	to
develop	develop	vvi
recommendations	recommendation	nn2
for	for	if
a	a	at1
National	national	jj
Travel	travel	nn1
and	and	cc
Tourism	tourism	nn1
Strategy	strategy	nn1
,	,	y
including	including	ii
promoting	promote	vvg
national	national	jj
parks	park	nn2
and	and	cc
other	other	jj
sites	site	nn2
.	.	y
#	#	fo
The	the	at
efforts	effort	nn2
to	to	to
boost	boost	vvi
tourism	tourism	nn1
were	be	vbdr
praised	praise	vvn
by	by	ii
travel	travel	nn1
and	and	cc
tourism	tourism	nn1
groups	group	nn2
,	,	y
but	but	ccb
one	one	mc1
lawmaker	lawmaker	nn1
said	say	vvd
the	the	at
decision	decision	nn1
to	to	to
relax	relax	vvi
tourist	tourist	nn1
visas	visa	nn2
could	could	vm
undermine	undermine	vvi
national	national	jj
security	security	nn1
.	.	y
Sen.	sen	nnb
Chuck	chuck	np1
Grassley	grassley	np1
,	,	y
R-Iowa	r-iowa	np1
,	,	y
said	say	vvd
the	the	at
administration	administration	nn1
was	be	vbdz
		y
pushing	push	vvg
the	the	at
envelope	envelope	nn1
and	and	cc
using	use	vvg
their	their	appge
authority	authority	nn1
beyond	beyond	ii
congressional	congressional	jj
intent	intent	nn1_jj
,	,	y
		y
noting	note	vvg
that	that	cst_dd1
only	only	rr
two	two	mc
of	of	io
the	the	at
19	19	mc
hijackers	hijacker	nn2
in	in	ii
the	the	at
9/11	9/11	mf
terrorist	terrorist	jj_nn1
attacks	attack	nn2
were	be	vbdr
interviewed	interview	vvn
by	by	ii
consular	consular	jj
offices	office	nn2
.	.	y
He	he	pphs1
said	say	vvd
Congress	congress	nn1
moved	move	vvd_vvn
to	to	to
require	require	vvi
visa	visa	nn1
applicants	applicant	nn2
to	to	to
be	be	vbi
interviewed	interview	vvn
as	as	ii
a	a	at1
result	result	nn1
.	.	y
#	#	fo
The	the	at
White	white	np1
House	house	nn1
says	say	vvz
the	the	at
travel	travel	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
7.5	7.5	mc
million	million	nno
jobs	job	nn2
in	in	ii
2010	2010	mc
.	.	y
But	but	ccb
the	the	at
U.S.	us	np1
share	share	nn1
of	of	io
spending	spend	vvg_nn1
by	by	ii
international	international	jj
travelers	traveler	nn2
fell	fall	vvd
from	from	ii
17	17	mc
percent	percent	nnu
to	to	ii
11	11	mc
percent	percent	nnu
between	between	ii
2000	2000	mc
and	and	cc
2010	2010	mc
,	,	y
due	due	ii21
to	to	ii22
increased	increased	jj
competition	competition	nn1
and	and	cc
changes	change	nn2_vvz@
in	in	ii
global	global	jj
development	development	nn1
,	,	y
as	as	ii31
well	well	ii32
as	as	ii33
security	security	nn1
measures	measure	nn2
imposed	impose	vvn_vvd
after	after	ii
Sept.	sept	npm1
11	11	mc
,	,	y
2001	2001	mc
,	,	y
according	according	ii21
to	to	ii22
the	the	at
White	white	np1
House	house	nn1
.	.	y
#	#	fo
The	the	at
approach	approach	nn1
was	be	vbdz
welcomed	welcome	vvn
by	by	ii
Brazilian	brazilian	jj_nn1
tourists	tourist	nn2
Lilian	lilian	np1
Lara	lara	np1
and	and	cc
Lindbergh	lindbergh	np1_vv0
Souza	souza	np1
,	,	y
who	who	pnqs
shopped	shop	vvd
along	along	ii_rp
the	the	at
resort	resort	nn1
's	's	ge
streets	street	nn2
hours	hour	nnt2
before	before	ii_cs
the	the	at
president	president	nn1
's	's	ge
speech	speech	nn1
.	.	y
Souza	souza	np1
said	say	vvd
the	the	at
visa	visa	nn1
process	process	nn1
was	be	vbdz
expensive	expensive	jj
,	,	y
at	at	ii
$500	$500	nnu
,	,	y
and	and	cc
time-consuming	time-consuming	jj
for	for	if
Brazilians	brazilian	nn2
who	who	pnqs
do	do	vd0
n't	n't	xx
live	live	vvi
close	close	rr_jj
to	to	ii
consuls	consul	nn2
in	in	ii
Rio	rio	np1
de	de	np1
Janiero	janiero	np1_nn1
and	and	cc
Sao	sao	np1
Paulo	paulo	np1
.	.	y
		y
The	the	at
whole	whole	jj
process	process	nn1
took	take	vvd
me	me	ppio1
six	six	mc
months	month	nnt2
,	,	y
		y
Souza	souza	np1
said	say	vvd
.	.	y
#	#	fo
Associated	associated	jj
Press	press	nn1
writers	writer	nn2
Mike	mike	np1
Schneider	schneider	np1_nn1_vv0
in	in	ii
Orlando	orlando	np1
,	,	y
Fla.	fla	np1
,	,	y
and	and	cc
Cristian	cristian	jj
Salazar	salazar	nn1
in	in	ii
New	new	np1
York	york	np1
contributed	contribute	vvd
to	to	ii
this	this	dd1
report	report	nn1
.	.	y
#	#	fo
Follow	follow	vv0
Julie	julie	np1
Pace	pace	nn1
at	at	ii
http		nnu
:	:	y
//twitter.com/jpaceDC		nn1
#	#	fo
#	#	fo
##4113715		
Mitt	mitt	np1
Romney	romney	np1
perpetuated	perpetuate	vvd
one	one	mc1
unsubstantiated	unsubstantiated	jj
claim	claim	nn1
,	,	y
about	about	ii
his	his	appge
record	record	nn1
at	at	ii
Bain	bain	fw
Capital	capital	nn1
,	,	y
and	and	cc
more	more	rgr
or	or	cc
less	less	rgr
corrected	corrected	jj@
himself	himself	ppx1
on	on	ii
another	another	dd1
,	,	y
about	about	ii
President	president	nnb
Barack	barack	np1
Obama	obama	np1
's	's	ge
health	health	nn1
care	care	nn1
law	law	nn1
,	,	y
in	in	ii
the	the	at
latest	late	jjt
Republican	republican	nn1_jj@
presidential	presidential	jj
debate	debate	nn1
.	.	y
#	#	fo
His	his	appge_ppge@
rivals	rival	nn2_vvz@
flubbed	flubbed	vvd_jj@
history	history	nn1
,	,	y
Newt	newt	np1
Gingrich	gingrich	np1
blaming	blame	vvg
a	a	at1
Democratic	democratic	jj
president	president	nn1
for	for	if
a	a	at1
jobless	jobless	jj
rate	rate	nn1
he	he	pphs1
never	never	rr
had	have	vhd_vhn@
,	,	y
and	and	cc
Ron	ron	np1
Paul	paul	np1
painting	paint	vvg@_nn1
an	a	at1
idyllic	idyllic	jj
picture	picture	nn1
of	of	io
life	life	nn1
before	before	ii_cs
Medicare	medicare	np1
that	that	cst_dd1
did	do	vdd
not	not	xx
reflect	reflect	vvi
deprivations	deprivation	nn2
of	of	io
that	that	dd1
time	time	nnt1
.	.	y
#	#	fo
A	a	zz1
look	look	vv0_nn1
at	at	ii
some	some	dd
of	of	io
the	the	at
claims	claim	nn2
in	in	ii
the	the	at
debate	debate	nn1
Thursday	thursday	npd1
night	night	nnt1
and	and	cc
how	how	rrq
they	they	pphs2
compare	compare	vv0
with	with	iw
the	the	at
facts	fact	nn2
:	:	y
#	#	fo
ROMNEY	romney	np1_nn1
:	:	y
		y
We	we	ppis2
started	start	vvd
a	a	at1
number	number	nn1
of	of	io
businesses	business	nn2
;	;	y
four	four	mc
in	in	rr21
particular	particular	rr22
created	create	vvn_vvd
120,000	120,000	mc
jobs	job	nn2
,	,	y
as	as	ii21
of	of	ii22
today	today	rt
.	.	y
We	we	ppis2
started	start	vvd
them	them	ppho2
years	year	nnt2
ago	ago	ra
.	.	y
They	they	pphs2
've	have	vh0
grown	grow	vvn
grown	grow	vvn
well	well	rr
beyond	beyond	ii
the	the	at
time	time	nnt1
I	i	ppis1
was	be	vbdz
there	there	rl
to	to	ii
120,000	120,000	mc
people	people	nn
that	that	cst
have	have	vh0
been	be	vbn
employed	employ	vvn
by	by	ii
those	those	dd2
enterprises	enterprise	nn2
.	.	y
...	...	...
Those	those	dd2
that	that	cst
have	have	vh0
been	be	vbn
documented	document	vvn
to	to	to
have	have	vhi
lost	lose	vvn
jobs	job	nn2
,	,	y
lost	lose	vvn_vvd
about	about	rg
10,000	10,000	mc
jobs	job	nn2
.	.	y
So	so	rr
(	(	y
120,000	120,000	mc
less	less	rrr_ii%
10,000	10,000	mc
)	)	y
means	mean	vvz
that	that	cst
we	we	ppis2
created	create	vvd
something	something	pn1
over	over	rg
100,000	100,000	mc
jobs	job	nn2
.	.	y
		y
#	#	fo
THE	the	at
FACTS	fact	nn2
:	:	y
Romney	romney	np1
now	now	rt
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
years	year	nnt2
with	with	iw
Bain	bain	fw
Capital	capital	nn1
,	,	y
but	but	ccb
hardly	hardly	rr
laid	lay	vvn_vvd
out	out	rp
the	the	at
full	full	jj
story	story	nn1
.	.	y
His	his	appge
claim	claim	nn1
to	to	to
have	have	vhi
created	create	vvn
more	more	dar
than	than	csn
100,000	100,000	mc
jobs	job	nn2
in	in	ii
the	the	at
private	private	jj
sector	sector	nn1
as	as	ii_csa
a	a	at1
venture	venture	nn1
capitalist	capitalist	nn1
remains	remain	vvz
unsupported	unsupported	jj
.	.	y
#	#	fo
Romney	romney	np1
mentioned	mention	vvd
four	four	mc
successful	successful	jj
investments	investment	nn2
in	in	ii
companies	company	nn2
that	that	cst_dd1
now	now	rt
employ	employ	vv0
some	some	dd
120,000	120,000	mc
people	people	nn
,	,	y
having	have	vhg
grown	grow	vvn
since	since	cs
he	he	pphs1
was	be	vbdz
involved	involved	jj
in	in	ii
them	them	ppho2
a	a	at1
decade	decade	nnt1
or	or	cc
ago	ago	ra
or	or	cc
longer	long	rrr_jjr
.	.	y
From	from	ii
that	that	dd1
,	,	y
he	he	pphs1
subtracted	subtract	vvd
the	the	at
number	number	nn1
of	of	io
jobs	job	nn2
that	that	cst
he	he	pphs1
said	say	vvd
are	be	vbr
known	know	vvn
to	to	to
have	have	vhi
been	be	vbn
lost	lose	vvn
at	at	ii
certain	certain	jj
other	other	jj
companies	company	nn2
.	.	y
#	#	fo
What	what	ddq
's	be	vbz
missing	miss	vvg_jj
is	be	vbz
anything	anything	pn1
close	close	rr_jj
to	to	ii
a	a	at1
complete	complete	jj
list	list	nn1
of	of	io
winners	winner	nn2
and	and	cc
losers	loser	nn2
and	and	cc
the	the	at
bottom	bottom	jj_nn1
line	line	nn1
on	on	ii
jobs	job	nn2
.	.	y
Bain	bain	fw
under	under	ii
Romney	romney	np1
invested	invest	vvd
in	in	ii_rp@
scores	score	nn2
of	of	io
private	private	jj
